display_name	item_id	type_a	type_b	max_stack	rank
Cold Resistant Plasteel Armor	PlasticArmorCold_5	Armor	ArmorBody	1	4
Cold Resistant Plasteel Armor Schematic 1	Blueprint_PlasticArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Plasteel Armor Schematic 2	Blueprint_PlasticArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Plasteel Armor Schematic 3	Blueprint_PlasticArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Plasteel Armor Schematic 4	Blueprint_PlasticArmorCold_5	Blueprint	Blueprint	9999	1
Cold Resistant Refined Metal Armor	IronArmorCold	Armor	ArmorBody	1	3
Cold Resistant Refined Metal Armor	IronArmorCold_2	Armor	ArmorBody	1	3
Cold Resistant Refined Metal Armor	IronArmorCold_3	Armor	ArmorBody	1	3
Cold Resistant Refined Metal Armor	IronArmorCold_4	Armor	ArmorBody	1	3
Cold Resistant Refined Metal Armor	IronArmorCold_5	Armor	ArmorBody	1	3
Cold Resistant Refined Metal Armor Schematic 1	Blueprint_IronArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Refined Metal Armor Schematic 2	Blueprint_IronArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Refined Metal Armor Schematic 3	Blueprint_IronArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Refined Metal Armor Schematic 4	Blueprint_IronArmorCold_5	Blueprint	Blueprint	9999	1
Cold-Resistant Ancient Armor	AncientArmorCold	Armor	ArmorBody	1	10
Cold-Resistant Ancient Armor	AncientArmorCold_2	Armor	ArmorBody	1	10
Cold-Resistant Ancient Armor	AncientArmorCold_3	Armor	ArmorBody	1	10
Cold-Resistant Ancient Armor	AncientArmorCold_4	Armor	ArmorBody	1	10
Cold-Resistant Ancient Armor	AncientArmorCold_5	Armor	ArmorBody	1	10
Cold-Resistant Ancient Armor Schematic 1	Blueprint_AncientArmorCold_2	Blueprint	Blueprint	9999	1
Cold-Resistant Ancient Armor Schematic 2	Blueprint_AncientArmorCold_3	Blueprint	Blueprint	9999	1
Cold-Resistant Ancient Armor Schematic 3	Blueprint_AncientArmorCold_4	Blueprint	Blueprint	9999	1
Cold-Resistant Ancient Armor Schematic 4	Blueprint_AncientArmorCold_5	Blueprint	Blueprint	9999	1
Combat SMG	SkySubmachineGun	Weapon	WeaponAssaultRifle	1	10
Combat SMG	SkySubmachineGun_2	Weapon	WeaponAssaultRifle	1	10
Combat SMG	SkySubmachineGun_3	Weapon	WeaponAssaultRifle	1	10
Combat SMG	SkySubmachineGun_4	Weapon	WeaponAssaultRifle	1	10
Combat SMG	SkySubmachineGun_5	Weapon	WeaponAssaultRifle	1	10
Combat SMG Ammo	SkySubmachineGunBullet	Ammo	ConsumeBullet	9999	10
Combat SMG Schematic 1	Blueprint_SkySubmachineGun_2	Blueprint	Blueprint	9999	1
Combat SMG Schematic 2	Blueprint_SkySubmachineGun_3	Blueprint	Blueprint	9999	1
Combat SMG Schematic 3	Blueprint_SkySubmachineGun_4	Blueprint	Blueprint	9999	1
Combat SMG Schematic 4	Blueprint_SkySubmachineGun_5	Blueprint	Blueprint	9999	1
Common Egg	PalEgg_Normal_01	Material	MaterialPalEgg	1	1
Common Egg	PalEgg_Normal_02	Material	MaterialPalEgg	1	1
Common Shield	Shield_01	Armor	Shield	1	1
Compound Bow	CompoundBow	Weapon	WeaponBow	1	3
Compound Bow	CompoundBow_2	Weapon	WeaponBow	1	3
Compound Bow	CompoundBow_3	Weapon	WeaponBow	1	3
Compound Bow	CompoundBow_4	Weapon	WeaponBow	1	3
Compound Bow	CompoundBow_5	Weapon	WeaponBow	1	3
Compound Bow Schematic 1	Blueprint_CompoundBow_2	Blueprint	Blueprint	9999	1
Compound Bow Schematic 2	Blueprint_CompoundBow_3	Blueprint	Blueprint	9999	1
Compound Bow Schematic 3	Blueprint_CompoundBow_4	Blueprint	Blueprint	9999	1
Compound Bow Schematic 4	Blueprint_CompoundBow_5	Blueprint	Blueprint	9999	1
Computer	Computer	Material	MaterialProccessing	9999	4
Copper Key	TreasureBoxKey01	Consume	ConsumeOther	9999	1
Coralum Ingot	ManganeseIngot	Material	MaterialIngot	9999	4
Coralum Ore	ManganeseOre	Material	MaterialOre	9999	1
Core Eject Shotgun	OctaviaShotgun	Weapon	WeaponShotgun	1	4
Core Eject Shotgun	OctaviaShotgun_2	Weapon	WeaponShotgun	1	4
Core Eject Shotgun	OctaviaShotgun_3	Weapon	WeaponShotgun	1	4
Core Eject Shotgun	OctaviaShotgun_4	Weapon	WeaponShotgun	1	4
Core Eject Shotgun	OctaviaShotgun_5	Weapon	WeaponShotgun	1	4
Core Eject Shotgun Schematic 1	Blueprint_OctaviaShotgun_2	Blueprint	Blueprint	9999	1
Core Eject Shotgun Schematic 2	Blueprint_OctaviaShotgun_3	Blueprint	Blueprint	9999	1
Core Eject Shotgun Schematic 3	Blueprint_OctaviaShotgun_4	Blueprint	Blueprint	9999	1
Core Eject Shotgun Schematic 4	Blueprint_OctaviaShotgun_5	Blueprint	Blueprint	9999	1
Corn Soup	CornSoup	Food	FoodVegetable	9999	1
Corrosive Mist Mask	GasMask	Accessory	Accessory	1	10
Corrosive Solvent	Corrosive_Solvent	Material	MaterialProccessing	9999	3
Cotton Candy	Sweet	Food	FoodVegetable	9999	1
Croajiro Cap	HeadEquip055	Armor	ArmorHead	1	99
Crossbow	BowGun	Weapon	WeaponCrossbow	1	2
Crossbow	BowGun_2	Weapon	WeaponCrossbow	1	2
Crossbow	BowGun_3	Weapon	WeaponCrossbow	1	2
Crossbow	BowGun_4	Weapon	WeaponCrossbow	1	2
Crossbow	BowGun_5	Weapon	WeaponCrossbow	1	2
Crossbow Schematic 1	Blueprint_BowGun_2	Blueprint	Blueprint	9999	1
Crossbow Schematic 2	Blueprint_BowGun_3	Blueprint	Blueprint	9999	1
Crossbow Schematic 3	Blueprint_BowGun_4	Blueprint	Blueprint	9999	1
Crossbow Schematic 4	Blueprint_BowGun_5	Blueprint	Blueprint	9999	1
Crown of Salvation	HeadEquip046	Armor	ArmorHead	1	99
Crude Oil	CrudeOil	Material	MaterialOre	9999	1
Cryogenic Coolant	Bio_Coolant	Material	MaterialProccessing	9999	3
Cryolinx Ring	Accessory_Otomo_Ice_1	Accessory	Accessory	1	3
Cryolinx Ring Schematic	Blueprint_Accessory_Otomo_Ice_1	Blueprint	Blueprint	9999	8
Cryolinx Terra Bounty Token	BossDefeatReward_WhiteTiger_Ground	Essential	NONE	9999	1
Curry	Curry_old	Food	FoodDishMeat	9999	3
Curve Module	SphereModule_Curve	SphereModule	SphereModule	1	1
Daedream's Necklace	SkillUnlock_DreamDemon	Essential	Essential_PalGear	999999	999
Damp Egg	PalEgg_Water_01	Material	MaterialPalEgg	1	1
Damp Egg	PalEgg_Water_02	Material	MaterialPalEgg	1	1
Dandilord Hat	HeadEquip057	Armor	ArmorHead	1	99
Dandilord's Petal	BossDefeatReward_FlowerPrince	Essential	NONE	9999	1
Dark Awakening Crystal	PalAwakening_Dark	Consume	NONE	9999	10
Dark Egg	PalEgg_Dark_01	Material	MaterialPalEgg	1	1
Dark Egg	PalEgg_Dark_02	Material	MaterialPalEgg	1	1
Dark Fragment	PalDarkParts	Material	MaterialMonster	9999	1
Dark Grenade	FragGrenade_Dark	Weapon	WeaponThrowObject	9999	2
Dark Radiant Gem	PalAwakening_Material_Dark	Material	MaterialMonster	9999	5
Dark Skill Fruit: Apocalypse	SkillCard_Apocalypse	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Dark Arrow	SkillCard_DarkArrow	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Dark Cannon	SkillCard_DarkCanon	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Dark Laser	SkillCard_DarkLaser	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Dark Shot	SkillCard_GravityShot	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Dark Whisp	SkillCard_DarkLegion	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Nightmare Ball	SkillCard_ShadowBall	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Poison Blast	SkillCard_PoisonShot	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Poison Shower	SkillCard_BubbleShower	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Psycho Gravity	SkillCard_Psychokinesis	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Shadow Burst	SkillCard_DarkWave	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Spirit Flame	SkillCard_GhostFlame	Consume	ConsumeWazaMachine	9999	1
Dark Skill Fruit: Umbral Surge	SkillCard_DarkPulse	Consume	ConsumeWazaMachine	9999	1
Dark Support Whistle	Otomo_ElementBoost_Dark_1	Accessory	Accessory	1	2
Dark Support Whistle	Otomo_ElementBoost_Dark_2	Accessory	Accessory	1	2
Dark Support Whistle	Otomo_ElementBoost_Dark_3	Accessory	Accessory	1	2
Dark Support Whistle Schematic	Blueprint_Otomo_ElementBoost_Dark_1_2	Blueprint	Blueprint	9999	8
Dazemu Saddle	SkillUnlock_FeatherOstrich	Essential	Essential_PalGear	999999	0
Dazzi Cloud	PalItem_RaijinDaughter	Material	MaterialMonster	9999	1
Dazzi Hat	HeadEquip032	Armor	ArmorHead	1	1
Dazzi Hat	HeadEquip032_2	Armor	ArmorHead	1	1
Dazzi Hat	HeadEquip032_3	Armor	ArmorHead	1	1
Dazzi Hat	HeadEquip032_4	Armor	ArmorHead	1	1
Dazzi Hat	HeadEquip032_5	Armor	ArmorHead	1	1
Dazzi Hat Schematic 1	Blueprint_HeadEquip032_1	Blueprint	Blueprint	9999	1
Dazzi Hat Schematic 1	Blueprint_HeadEquip032_5	Blueprint	Blueprint	9999	1
Dazzi Hat Schematic 2	Blueprint_HeadEquip032_2	Blueprint	Blueprint	9999	1
Dazzi Hat Schematic 3	Blueprint_HeadEquip032_3	Blueprint	Blueprint	9999	1
Dazzi Hat Schematic 4	Blueprint_HeadEquip032_4	Blueprint	Blueprint	9999	1
Dazzi Noct Bounty Token	BossDefeatReward_RaijinDaughter_Water	Essential	NONE	9999	1
Dazzi Noct's Necklace	SkillUnlock_RaijinDaughter_Water	Essential	Essential_PalGear	9999	999
Dazzi's Necklace	SkillUnlock_RaijinDaughter	Essential	Essential_PalGear	999999	999
Decal Gun 1	DecalGun_1	Weapon	WeaponHandgun	1	2
Decal Gun 2	DecalGun_2	Weapon	WeaponHandgun	1	2
Decal Gun 3	DecalGun_3	Weapon	WeaponHandgun	1	2
Decal Gun 4	DecalGun_4	Weapon	WeaponHandgun	1	2
Decal Gun 5	DecalGun_5	Weapon	WeaponHandgun	1	2
Decal Ink	InkBullet	Ammo	ConsumeBullet	9999	2
Decayed Ancient Relic	WorldTreeRelic_01	Material	MaterialMonster	9999	1
Defense Pendant	Accessory_defense_1	Accessory	Accessory	1	2
Defense Pendant	Accessory_defense_2	Accessory	Accessory	1	2
Defense Pendant	Accessory_defense_3	Accessory	Accessory	1	2
Defense Pendant Schematic	Blueprint_Accessory_defense_1_2	Blueprint	Blueprint	9999	8
Defense Support Whistle	Otomo_Defense_up1	Accessory	Accessory	1	2
Defense Support Whistle	Otomo_Defense_up2	Accessory	Accessory	1	2
Defense Support Whistle	Otomo_Defense_up3	Accessory	Accessory	1	2
Defense Support Whistle Schematic	Blueprint_Otomo_Defense_up1_2	Blueprint	Blueprint	9999	8
Deluxe Bait	FishingBait_3	Consume	NONE	9999	1
Depresso Armor	Player_Outfit_Kigurumi001	Armor	ArmorBody	1	99
Depresso Effigy	Relic_07	Essential	Essential	9999	9
Depresso Helmet	HeadEquip045	Armor	ArmorHead	1	99
Design of Witch Hat No. 5	Blueprint_Head004_5	Blueprint	Blueprint	9999	1
Design Plan 5 for the Crutchli Hat	Blueprint_Head013_5	Blueprint	Blueprint	9999	1
Diamond	Diamond	Material	MaterialJewelry	9999	9
Digtoise's Headband	SkillUnlock_DrillGame	Essential	Essential_PalGear	999999	999
Dinossom Lux Bounty Token	BossDefeatReward_FlowerDinosaur_Electric	Essential	NONE	9999	1
Dinossom Lux Saddle	SkillUnlock_FlowerDinosaur_Electric	Essential	Essential_PalGear	999999	0
Dinossom Saddle	SkillUnlock_FlowerDinosaur	Essential	Essential_PalGear	999999	0
Direhowl's Saddled Harness	SkillUnlock_Garm	Essential	Essential_PalGear	9999	0
Disposable Implant: Babysitter	PalPassiveSkillChange_Consumable_MutationPal_Babysitter	Consume	NONE	9999	4
Disposable Implant: Demon God	PalPassiveSkillChange_Consumable_PAL_ALLAttack_up3	Consume	NONE	9999	4
Disposable Implant: Demonic Grasp	PalPassiveSkillChange_Consumable_WorldTree_CraftSpeed	Consume	NONE	9999	4
Disposable Implant: Diamond Body	PalPassiveSkillChange_Consumable_Deffence_up3	Consume	NONE	9999	4
Disposable Implant: Dimensional Leap	PalPassiveSkillChange_Consumable_WorldTree_MoveSpeed	Consume	NONE	9999	4
Disposable Implant: Double-Edged Holy Sword	PalPassiveSkillChange_Consumable_WorldTree_ATK	Consume	NONE	9999	4
Disposable Implant: Eternal Engine	PalPassiveSkillChange_Consumable_Stamina_Up_3	Consume	NONE	9999	4
Disposable Implant: Eternal Flame	PalPassiveSkillChange_Consumable_EternalFlame	Consume	NONE	9999	99
Disposable Implant: God of Destruction	PalPassiveSkillChange_Consumable_WorldTree_ATK_DEF	Consume	NONE	9999	4
Disposable Implant: Heart of the Immovable King	PalPassiveSkillChange_Consumable_PAL_Sanity_Down_3	Consume	NONE	9999	4
Disposable Implant: Heavily Armored	PalPassiveSkillChange_Consumable_MutationPal_ExplosionResist	Consume	NONE	9999	4
Disposable Implant: Hermit	PalPassiveSkillChange_Consumable_WorldTree_Sanity	Consume	NONE	9999	4
Disposable Implant: Idiosyncratic	PalPassiveSkillChange_Consumable_MutationPal_Mutant	Consume	NONE	9999	4
Disposable Implant: Immortality	PalPassiveSkillChange_Consumable_MutationPal_Immortal	Consume	NONE	9999	4
Disposable Implant: Invader	PalPassiveSkillChange_Consumable_Invader	Consume	NONE	9999	99
Disposable Implant: King of the Waves	PalPassiveSkillChange_Consumable_SwimSpeed_up_3	Consume	NONE	9999	4
Disposable Implant: Legend	PalPassiveSkillChange_Consumable_Legend	Consume	NONE	9999	99
Disposable Implant: Lucky	PalPassiveSkillChange_Consumable_Rare	Consume	NONE	9999	99
Disposable Implant: Lunker	PalPassiveSkillChange_Consumable_Nushi	Consume	NONE	9999	99
Disposable Implant: Mastery of Fasting	PalPassiveSkillChange_Consumable_PAL_FullStomach_Down_3	Consume	NONE	9999	4
Disposable Implant: Remarkable Craftsmanship	PalPassiveSkillChange_Consumable_CraftSpeed_up3	Consume	NONE	9999	4
Disposable Implant: Sacred Flesh	PalPassiveSkillChange_Consumable_WorldTree_DEF	Consume	NONE	9999	4
Disposable Implant: Savior	PalPassiveSkillChange_Consumable_Salvation	Consume	NONE	9999	99
Disposable Implant: Siren of the Void	PalPassiveSkillChange_Consumable_Witch	Consume	NONE	9999	99
Disposable Implant: Skymarcher	PalPassiveSkillChange_Consumable_RideJumpCount_Increase2	Consume	NONE	9999	4
Disposable Implant: Swift	PalPassiveSkillChange_Consumable_MoveSpeed_up_3	Consume	NONE	9999	4
Disposable Implant: Vampiric	PalPassiveSkillChange_Consumable_Vampire	Consume	NONE	9999	4
Disposable Implant: World Tree's Bounty	PalPassiveSkillChange_Consumable_WorldTree_FullStomach	Consume	NONE	9999	4
Divine Dragon's Baton	Otomo_ATDragon_ElementBoost_1	Accessory	Accessory	1	3
Divine Dragon's Baton Schematic	Blueprint_Otomo_ATDragon_ElementBoost_1	Blueprint	Blueprint	9999	8
Dog Coin	DogCoin	Material	MaterialJewelry	9999	4
Dogen Emblem	Accessory_PPAT_1	Accessory	Accessory	1	3
Dogen Emblem Schematic	Blueprint_Accessory_PPAT_1	Blueprint	Blueprint	9999	8
Dormant Ancient Relic	WorldTreeRelic_02	Material	MaterialMonster	9999	1
Double Air Dash Boots	Accessory_AirDash2	Accessory	Accessory	1	3
Double Jump Boots	Accessory_JumpCount_Increase1	Accessory	Accessory	1	2
Double-Barreled Shotgun	DoubleBarrelShotgun	Weapon	WeaponShotgun	1	3
Double-Barreled Shotgun	DoubleBarrelShotgun_2	Weapon	WeaponShotgun	1	3
Double-Barreled Shotgun	DoubleBarrelShotgun_3	Weapon	WeaponShotgun	1	3
Double-Barreled Shotgun	DoubleBarrelShotgun_4	Weapon	WeaponShotgun	1	3
Double-Barreled Shotgun	DoubleBarrelShotgun_5	Weapon	WeaponShotgun	1	3
Double-Barreled Shotgun Schematic 1	Blueprint_DoubleBarrelShotgun_2	Blueprint	Blueprint	9999	1
Double-Barreled Shotgun Schematic 2	Blueprint_DoubleBarrelShotgun_3	Blueprint	Blueprint	9999	1
Double-Barreled Shotgun Schematic 3	Blueprint_DoubleBarrelShotgun_4	Blueprint	Blueprint	9999	1
Double-Barreled Shotgun Schematic 4	Blueprint_DoubleBarrelShotgun_5	Blueprint	Blueprint	9999	1
Dragon Awakening Crystal	PalAwakening_Dragon	Consume	NONE	9999	10
Dragon Egg	PalEgg_Dragon_01	Material	MaterialPalEgg	1	1
Dragon Egg	PalEgg_Dragon_02	Material	MaterialPalEgg	1	1
Dragon Grenade	FragGrenade_Dragon	Weapon	WeaponThrowObject	9999	2
Dragon Radiant Gem	PalAwakening_Material_Dragon	Material	MaterialMonster	9999	5
Dragon Skill Fruit: Beam Slicer	SkillCard_BeamSlicer	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Blast Cannon	SkillCard_BlastCanon	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Charge Cannon	SkillCard_ChargeCanon	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Comet	SkillCard_Commet	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Dragon Breath	SkillCard_DragonBreath	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Dragon Burst	SkillCard_DragonWave	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Dragon Cannon	SkillCard_DragonCanon	Consume	ConsumeWazaMachine	9999	1
Dragon Skill Fruit: Dragon Meteor	SkillCard_DragonMeteor	Consume	ConsumeWazaMachine	9999	1
Dragon Support Whistle	Otomo_ElementBoost_Dragon_1	Accessory	Accessory	1	2
Dragon Support Whistle	Otomo_ElementBoost_Dragon_2	Accessory	Accessory	1	2
Dragon Support Whistle	Otomo_ElementBoost_Dragon_3	Accessory	Accessory	1	2
Dragon Support Whistle Schematic	Blueprint_Otomo_ElementBoost_Dragon_1_2	Blueprint	Blueprint	9999	8
Dragostrophe's Shotgun	SkillUnlock_BlackFurDragon	Essential	Essential_PalGear	999999	0
Drone Launcher	DroneLauncher	Weapon	WeaponMelee	1	10
Drone Launcher	DroneLauncher_2	Weapon	WeaponMelee	1	10
Drone Launcher	DroneLauncher_3	Weapon	WeaponMelee	1	10
Drone Launcher	DroneLauncher_4	Weapon	WeaponMelee	1	10
Drone Launcher	DroneLauncher_5	Weapon	WeaponMelee	1	10
Drone Launcher Schematic 1	Blueprint_DroneLauncher_2	Blueprint	Blueprint	9999	1
Drone Launcher Schematic 2	Blueprint_DroneLauncher_3	Blueprint	Blueprint	9999	1
Drone Launcher Schematic 3	Blueprint_DroneLauncher_4	Blueprint	Blueprint	9999	1
Drone Launcher Schematic 4	Blueprint_DroneLauncher_5	Blueprint	Blueprint	9999	1
Dualith Bounty Token	BossDefeatReward_GrassGolem	Essential	NONE	9999	1
Dualith Noct Bounty Token	BossDefeatReward_GrassGolem_Dark	Essential	NONE	9999	1
Dualith Noct Saddle	SkillUnlock_GrassGolem_Dark	Essential	Essential_PalGear	9999	0
Dualith Saddle	SkillUnlock_GrassGolem	Essential	Essential_PalGear	9999	0
Dumud Bounty Token	BossDefeatReward_LazyCatfish	Essential	NONE	9999	1
Dumud Chowder	Chowder	Food	FoodDishFish	9999	3
Dumud Helm	HeadEquip030	Armor	ArmorHead	1	99
Dung	Unko_S	Material	MaterialJewelry	9999	1
Dynamoff Bounty Token	BossDefeatReward_ThunderFluffyBird	Essential	NONE	9999	1
Dynamoff Saddle	SkillUnlock_ThunderFluffyBird	Essential	Essential_PalGear	9999	0
Earth Emperor's Baton	Otomo_ATEarth_ElementBoost_1	Accessory	Accessory	1	3
Earth Emperor's Baton Schematic	Blueprint_Otomo_ATEarth_ElementBoost_1	Blueprint	Blueprint	9999	8
Echoing Flute	WhaleWhistle	Essential	Essential_UnlockPlayerFuture	9999	1
Egg	Egg	Food	FoodMeat	9999	1
Eidrolon Bounty Token	BossDefeatReward_GhostDragon	Essential	NONE	9999	1
Eidrolon Ignis Saddle	SkillUnlock_GhostDragon_Fire	Essential	Essential_PalGear	9999	0
Eidrolon Saddle	SkillUnlock_GhostDragon	Essential	Essential_PalGear	9999	0
Eikthyrdeer Loco Moco	DeerLocoMoco	Food	FoodDishMeat	9999	3
Eikthyrdeer Saddle	SkillUnlock_Deer	Essential	Essential_PalGear	999999	0
Eikthyrdeer Stew	DeerStew	Food	FoodDishMeat	9999	3
Eikthyrdeer Terra Saddle	SkillUnlock_Deer_Ground	Essential	Essential_PalGear	999999	0
Eikthyrdeer Venison	Meat_Deer	Food	FoodMeat	9999	2
Electric Awakening Crystal	PalAwakening_Electric	Consume	NONE	9999	10
Electric Egg	PalEgg_Electricity_01	Material	MaterialPalEgg	1	1
Electric Egg	PalEgg_Electricity_02	Material	MaterialPalEgg	1	1
Electric Organ	ElectricOrgan	Material	MaterialMonster	9999	1
Electric Radiant Gem	PalAwakening_Material_Electric	Material	MaterialMonster	9999	5
Electric Skill Fruit: Electric Ball	SkillCard_ThunderBall	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Lightning Bolt	SkillCard_Thunderbolt	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Lightning Streak	SkillCard_LineThunder	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Lightning Strike	SkillCard_LightningStrike	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Lock-on Laser	SkillCard_LockonLaser	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Plasma Funnel	SkillCard_ThunderFunnel	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Shockwave	SkillCard_ElecWave	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Spark Blast	SkillCard_SpreadPulse	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Thunder Rain	SkillCard_ThunderRain	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Thunder Spear	SkillCard_ThunderSpear	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Thunderstorm	SkillCard_ThunderStorm	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: Tri-Lightning	SkillCard_ThreeThunder	Consume	ConsumeWazaMachine	9999	1
Electric Skill Fruit: TriSpark	SkillCard_TriSpark	Consume	ConsumeWazaMachine	9999	1
Electric Support Whistle	Otomo_ElementBoost_Electricity_1	Accessory	Accessory	1	2
Electric Support Whistle	Otomo_ElementBoost_Electricity_2	Accessory	Accessory	1	2
Electric Support Whistle	Otomo_ElementBoost_Electricity_3	Accessory	Accessory	1	2
Electric Support Whistle Schematic	Blueprint_Otomo_ElementBoost_Electricity_1_2	Blueprint	Blueprint	9999	8
Elizabee Bounty Token	BossDefeatReward_QueenBee	Essential	NONE	9999	1
Elizabee's Staff	Spear_QueenBee	Weapon	WeaponMelee	1	99
Elphidran Aqua Saddle	SkillUnlock_FairyDragon_Water	Essential	Essential_PalGear	999999	0
Elphidran Bounty Token	BossDefeatReward_FairyDragon	Essential	NONE	9999	1
Elphidran Ring	Accessory_Otomo_Dargon_1	Accessory	Accessory	1	3
Elphidran Ring Schematic	Blueprint_Accessory_Otomo_Dargon_1	Blueprint	Blueprint	9999	8
Elphidran Saddle	SkillUnlock_FairyDragon	Essential	Essential_PalGear	999999	0
Emerald	Eemerald	Material	MaterialJewelry	9999	7
en text's Power Converter	SkillUnlock_DarkMutant	Essential	Essential_PalGear	999999	0
Energy Cartridge	LaserBullet	Ammo	ConsumeBullet	9999	4
Energy Shotgun	EnergyShotgun	Weapon	WeaponShotgun	1	5
Energy Shotgun	EnergyShotgun_2	Weapon	WeaponShotgun	1	5
Energy Shotgun	EnergyShotgun_3	Weapon	WeaponShotgun	1	5
Energy Shotgun	EnergyShotgun_4	Weapon	WeaponShotgun	1	5
Energy Shotgun	EnergyShotgun_5	Weapon	WeaponShotgun	1	5
Energy Shotgun Ammo	EnergyShotgunBullet	Ammo	ConsumeBullet	9999	5
Energy Shotgun Schematic 1	Blueprint_EnergyShotgun_2	Blueprint	Blueprint	9999	1
Energy Shotgun Schematic 2	Blueprint_EnergyShotgun_3	Blueprint	Blueprint	9999	1
Energy Shotgun Schematic 3	Blueprint_EnergyShotgun_4	Blueprint	Blueprint	9999	1
Energy Shotgun Schematic 4	Blueprint_EnergyShotgun_5	Blueprint	Blueprint	9999	1
Enhanced Hip Lantern	Lantern_High	Essential	NONE	9999	3
Enhanced Lily's Spear	Spear_ForestBoss2	Weapon	WeaponMelee	1	5
Enhanced Lily's Spear	Spear_ForestBoss2_5	Weapon	WeaponMelee	1	5
Enhanced Lily's Spear Schematic 4	Blueprint_Spear_ForestBoss2_5	Blueprint	Blueprint	9999	1
Excalibur	YakushimaBlade004	Weapon	WeaponMelee	1	3
Excalibur	YakushimaBlade004_2	Weapon	WeaponMelee	1	3
Excalibur	YakushimaBlade004_3	Weapon	WeaponMelee	1	3
Excalibur	YakushimaBlade004_4	Weapon	WeaponMelee	1	3
Excalibur	YakushimaBlade004_5	Weapon	WeaponMelee	1	3
Excalibur Schematic	Blueprint_YakushimaBlade004	Blueprint	Blueprint	9999	1
Excalibur Schematic 1	Blueprint_YakushimaBlade004_2	Blueprint	Blueprint	9999	1
Excalibur Schematic 2	Blueprint_YakushimaBlade004_3	Blueprint	Blueprint	9999	1
Excalibur Schematic 3	Blueprint_YakushimaBlade004_4	Blueprint	Blueprint	9999	1
Excalibur Schematic 4	Blueprint_YakushimaBlade004_5	Blueprint	Blueprint	9999	1
Exotic Sphere	PalSphere_Exotic	SpecialWeapon	SPWeaponCaptureBall	9999	7
Exploration Cap Schematic 1	Blueprint_Head009_1	Blueprint	Blueprint	9999	1
Exploration Cap Schematic 2	Blueprint_Head009_2	Blueprint	Blueprint	9999	1
Exploration Cap Schematic 3	Blueprint_Head009_3	Blueprint	Blueprint	9999	1
Exploration Cap Schematic 4	Blueprint_Head009_4	Blueprint	Blueprint	9999	1
Explorer Cap	Head009	Armor	ArmorHead	1	1
Explorer Cap	Head009_2	Armor	ArmorHead	1	1
Explorer Cap	Head009_3	Armor	ArmorHead	1	1
Explorer Cap	Head009_4	Armor	ArmorHead	1	1
Explorer Cap	Head009_5	Armor	ArmorHead	1	1
Explosion-Resistant Fiber	UniqueMaterial_Mothman	Material	MaterialMonster	9999	3
Explosion-Resistant Undershirt	Accessory_ExplosionResist	Accessory	Accessory	1	10
Extra Weapon Holster	UnlockEquipmentSlot_Weapon_01	Essential	Essential_UnlockPlayerFuture	9999	1
Extra Weapon Holster 2	UnlockEquipmentSlot_Weapon_02	Essential	Essential_UnlockPlayerFuture	9999	1
Extravagant Vegetable Cake	Cake04	Food	FoodDishVegetable	9999	4
Eye of Cthulhu Mask	YakushimaHeadEquip006	Armor	ArmorHead	1	99
Faded Schematic	Blueprint_WhaleWhistle	Essential	Blueprint	9999	1
Faleris Aqua Bounty Token	BossDefeatReward_Horus_Water	Essential	NONE	9999	1
